Municipio;Bairro;M+B;Lat;Long
PARNAMIRIM;NULL;NULL - PARNAMIRIM - ES - Brasil;;
JOAO PESSOA;NULL;NULL - JOAO PESSOA - ES - Brasil;;
DIVINO;NULL;NULL - DIVINO - ES - Brasil;;
MACAPA;NULL;NULL - MACAPA - ES - Brasil;;
SERRA;SÃO GERALDO;SÃO GERALDO - SERRA - ES - Brasil;;
SERRA;SÃO LOURENÇO;SÃO LOURENÇO - SERRA - ES - Brasil;;
CARIACICA;VALE ESPERANÇA;VALE ESPERANÇA - CARIACICA - ES - Brasil;;
VIANA;MARCÍLIO DE NORONHA;MARCÍLIO DE NORONHA - VIANA - ES - Brasil;;
CARIACICA;ROSA DA PENHA;ROSA DA PENHA - CARIACICA - ES - Brasil;;
CARIACICA;TUCUM;TUCUM - CARIACICA - ES - Brasil;;
CARIACICA;ITAPEMIRIM;ITAPEMIRIM - CARIACICA - ES - Brasil;;
VITORIA;INHANGUETÁ;INHANGUETÁ - VITORIA - ES - Brasil;;
VITORIA;FRADINHOS;FRADINHOS - VITORIA - ES - Brasil;;
VITORIA;FORTE SÃO JOÃO;FORTE SÃO JOÃO - VITORIA - ES - Brasil;;
VITORIA;ILHA DAS CAIEIRAS;ILHA DAS CAIEIRAS - VITORIA - ES - Brasil;;
VILA VELHA;DIVINO ESPÍRITO SANTO;DIVINO ESPÍRITO SANTO - VILA VELHA - ES - Brasil;;
VILA VELHA;CAVALIERE;CAVALIERE - VILA VELHA - ES - Brasil;;
CARIACICA;DOM BOSCO;DOM BOSCO - CARIACICA - ES - Brasil;;
CARIACICA;VISTA MAR;VISTA MAR - CARIACICA - ES - Brasil;;
VILA VELHA;OLARIA;OLARIA - VILA VELHA - ES - Brasil;;
VITORIA;RESISTÊNCIA;RESISTÊNCIA - VITORIA - ES - Brasil;;
VITORIA;SANTOS DUMONT;SANTOS DUMONT - VITORIA - ES - Brasil;;
VENDA NOVA DO IMIGRANTE;TAPERA;TAPERA - VENDA NOVA DO IMIGRANTE - ES - Brasil;;
SERRA;ROSÁRIO DE FÁTIMA;ROSÁRIO DE FÁTIMA - SERRA - ES - Brasil;;
ARACRUZ;SAUE;SAUE - ARACRUZ - ES - Brasil;;
SAO MATEUS;SERNAMBY;SERNAMBY - SAO MATEUS - ES - Brasil;;
SAO MATEUS;IDEAL;IDEAL - SAO MATEUS - ES - Brasil;;
SERRA;CHÁCARA PARREIRAL;CHÁCARA PARREIRAL - SERRA - ES - Brasil;;
GUARAPARI;MUQUIÇABA;MUQUIÇABA - GUARAPARI - ES - Brasil;;
GUARAPARI;PARQUE AREIA PRETA;PARQUE AREIA PRETA - GUARAPARI - ES - Brasil;;
ITAPEMIRIM;Não Encontrado;Não Encontrado - ITAPEMIRIM - ES - Brasil;;
GUACUI;SÃO JOSÉ;SÃO JOSÉ - GUACUI - ES - Brasil;;
COLATINA;MARIA DAS GRAÇAS;MARIA DAS GRAÇAS - COLATINA - ES - Brasil;;
ANCHIETA;BENEVENTE;BENEVENTE - ANCHIETA - ES - Brasil;;
CACHOEIRO DE ITAPEMIRIM;GILBERTO MACHADO;GILBERTO MACHADO - CACHOEIRO DE ITAPEMIRIM - ES - Brasil;;
CACHOEIRO DE ITAPEMIRIM;INDEPENDÊNCIA;INDEPENDÊNCIA - CACHOEIRO DE ITAPEMIRIM - ES - Brasil;;
CACHOEIRO DE ITAPEMIRIM;AMARELO;AMARELO - CACHOEIRO DE ITAPEMIRIM - ES - Brasil;;
ARACRUZ;VILA SANTI;VILA SANTI - ARACRUZ - ES - Brasil;;
ARACAJU;NULL;NULL - ARACAJU - ES - Brasil;;
COLATINA;CASTELO BRANCO;CASTELO BRANCO - COLATINA - ES - Brasil;;
COLATINA;SANTA MARGARIDA;SANTA MARGARIDA - COLATINA - ES - Brasil;;
COLATINA;VILA NOVA;VILA NOVA - COLATINA - ES - Brasil;;
CARIACICA;PORTO BELO I ;PORTO BELO I  - CARIACICA - ES - Brasil;;
SERRA;SÃO PATRÍCIO;SÃO PATRÍCIO - SERRA - ES - Brasil;;
SERRA;COLINA DA SERRA;COLINA DA SERRA - SERRA - ES - Brasil;;
SERRA;EURICO SALLES;EURICO SALLES - SERRA - ES - Brasil;;
VENDA NOVA DO IMIGRANTE;VILA BETÂNEA;VILA BETÂNEA - VENDA NOVA DO IMIGRANTE - ES - Brasil;;
VILA VELHA;ILHA DOS BENTOS;ILHA DOS BENTOS - VILA VELHA - ES - Brasil;;
VIANA;VILA BETHÂNIA;VILA BETHÂNIA - VIANA - ES - Brasil;;
SERRA;SANTA LUZIA;SANTA LUZIA - SERRA - ES - Brasil;;
VITORIA;BARRO VERMELHO;BARRO VERMELHO - VITORIA - ES - Brasil;;
VITORIA;ENSEADA DO SUÁ;ENSEADA DO SUÁ - VITORIA - ES - Brasil;;
CAMPO LARGO;NULL;NULL - CAMPO LARGO - ES - Brasil;;
FLORIANOPOLIS;Não Encontrado;Não Encontrado - FLORIANOPOLIS - ES - Brasil;;
POMPEIA;NULL;NULL - POMPEIA - ES - Brasil;;
VILA VELHA;INTERLAGOS I E II;INTERLAGOS I E II - VILA VELHA - ES - Brasil;;
VITORIA;Não Encontrado;Não Encontrado - VITORIA - ES - Brasil;;
VITORIA;SANTA LÚCIA;SANTA LÚCIA - VITORIA - ES - Brasil;;
VITORIA;REPÚBLICA;REPÚBLICA - VITORIA - ES - Brasil;;
VITORIA;ANTÔNIO HONÓRIO;ANTÔNIO HONÓRIO - VITORIA - ES - Brasil;;
SANTO ANDRE;NULL;NULL - SANTO ANDRE - ES - Brasil;;
NITEROI;NULL;NULL - NITEROI - ES - Brasil;;
SANTA TERESA;CENTENÁRIO;CENTENÁRIO - SANTA TERESA - ES - Brasil;;
ARACRUZ;GUANABARA;GUANABARA - ARACRUZ - ES - Brasil;;
VITORIA;DE LOURDES;DE LOURDES - VITORIA - ES - Brasil;;
VITORIA;SANTO ANTÔNIO;SANTO ANTÔNIO - VITORIA - ES - Brasil;;
VITORIA;ILHA DO BOI;ILHA DO BOI - VITORIA - ES - Brasil;;
SERRA;OURIMAR;OURIMAR - SERRA - ES - Brasil;;
SERRA;SERRA CENTRO;SERRA CENTRO - SERRA - ES - Brasil;;
SERRA;PARQUE RESIDENCIAL MESTRE ÁLVARO;PARQUE RESIDENCIAL MESTRE ÁLVARO - SERRA - ES - Brasil;;
VIANA;CANAÃ;CANAÃ - VIANA - ES - Brasil;;
CARIACICA;BOA SORTE;BOA SORTE - CARIACICA - ES - Brasil;;
DOMINGOS MARTINS;ARACÊ;ARACÊ - DOMINGOS MARTINS - ES - Brasil;;
SERRA;PRAIA DE CARAPEBUS;PRAIA DE CARAPEBUS - SERRA - ES - Brasil;;
PIUMA;CENTRO;CENTRO - PIUMA - ES - Brasil;;
SAO MATEUS;GURIRI;GURIRI - SAO MATEUS - ES - Brasil;;
VILA VELHA;RESIDENCIAL COQUEIRAL;RESIDENCIAL COQUEIRAL - VILA VELHA - ES - Brasil;;
SERRA;BOA VISTA II (CARAPINA);BOA VISTA II (CARAPINA) - SERRA - ES - Brasil;;
SERRA;PORTAL DE JACARAÍPE;PORTAL DE JACARAÍPE - SERRA - ES - Brasil;;
SERRA;SERRAMAR;SERRAMAR - SERRA - ES - Brasil;;
SAO MATEUS;NOVO HORIZONTE;NOVO HORIZONTE - SAO MATEUS - ES - Brasil;;
SAO MATEUS;JACUÍ;JACUÍ - SAO MATEUS - ES - Brasil;;
LINHARES;JARDIM LAGUNA;JARDIM LAGUNA - LINHARES - ES - Brasil;;
ALFREDO CHAVES;PORTAL DOS IMIGRANTES ;PORTAL DOS IMIGRANTES  - ALFREDO CHAVES - ES - Brasil;;
ARACRUZ;Não Encontrado;Não Encontrado - ARACRUZ - ES - Brasil;;
ARACRUZ;JARDINS;JARDINS - ARACRUZ - ES - Brasil;;
BOA ESPERANCA;CENTRO;CENTRO - BOA ESPERANCA - ES - Brasil;;
BOM JESUS DO NORTE;VISTA ALEGRE;VISTA ALEGRE - BOM JESUS DO NORTE - ES - Brasil;;
GUARAPARI;PEROCÃO;PEROCÃO - GUARAPARI - ES - Brasil;;
LINHARES;CENTRO;CENTRO - LINHARES - ES - Brasil;;
LINHARES;SANTA CRUZ;SANTA CRUZ - LINHARES - ES - Brasil;;
ITAPEMIRIM;CAMPO ACIMA;CAMPO ACIMA - ITAPEMIRIM - ES - Brasil;;
GUARAPARI;PONTAL SANTA MÔNICA;PONTAL SANTA MÔNICA - GUARAPARI - ES - Brasil;;
SAO ROQUE DO CANAA;VILA VERDE;VILA VERDE - SAO ROQUE DO CANAA - ES - Brasil;;
SERRA;BAIRRO DE FÁTIMA;BAIRRO DE FÁTIMA - SERRA - ES - Brasil;;
SAO MATEUS;RESIDENCIAL PARQUE WASHIGTON;RESIDENCIAL PARQUE WASHIGTON - SAO MATEUS - ES - Brasil;;
SERRA;ALTEROSAS;ALTEROSAS - SERRA - ES - Brasil;;
NANUQUE;NULL;NULL - NANUQUE - ES - Brasil;;
SETE LAGOAS;MATA DA PRAIA;MATA DA PRAIA - SETE LAGOAS - ES - Brasil;;
AFONSO CLAUDIO;CENTRO;CENTRO - AFONSO CLAUDIO - ES - Brasil;;
OLINDA;NULL;NULL - OLINDA - ES - Brasil;;
CABEDELO;NULL;NULL - CABEDELO - ES - Brasil;;
ALAGOINHAS;NULL;NULL - ALAGOINHAS - ES - Brasil;;
SALVADOR;NULL;NULL - SALVADOR - ES - Brasil;;
CARIACICA;VERA CRUZ;VERA CRUZ - CARIACICA - ES - Brasil;;
CARIACICA;SANTA CECÍLIA;SANTA CECÍLIA - CARIACICA - ES - Brasil;;
CARIACICA;APARECIDA;APARECIDA - CARIACICA - ES - Brasil;;
CARIACICA;JARDIM CAMPO GRANDE;JARDIM CAMPO GRANDE - CARIACICA - ES - Brasil;;
CARIACICA;ALZIRA RAMOS;ALZIRA RAMOS - CARIACICA - ES - Brasil;;
CACHOEIRO DE ITAPEMIRIM;AQUIDABAN;AQUIDABAN - CACHOEIRO DE ITAPEMIRIM - ES - Brasil;;
CARIACICA;VILA CAPIXABA;VILA CAPIXABA - CARIACICA - ES - Brasil;;
CARIACICA;ITAQUARI;ITAQUARI - CARIACICA - ES - Brasil;;
CARIACICA;BELA VISTA;BELA VISTA - CARIACICA - ES - Brasil;;
VILA VELHA;PONTA DA FRUTA;PONTA DA FRUTA - VILA VELHA - ES - Brasil;;
VIANA;CENTRO;CENTRO - VIANA - ES - Brasil;;
VIANA;NOVA BETHÂNIA;NOVA BETHÂNIA - VIANA - ES - Brasil;;
SERRA;RESIDENCIAL VISTA DO MESTRE;RESIDENCIAL VISTA DO MESTRE - SERRA - ES - Brasil;;
VIANA;CAXIAS DO SUL;CAXIAS DO SUL - VIANA - ES - Brasil;;
SERRA;NOVO PORTO CANOA;NOVO PORTO CANOA - SERRA - ES - Brasil;;
SERRA;BOULEVARD LAGOA;BOULEVARD LAGOA - SERRA - ES - Brasil;;
VILA VELHA;ZUMBI DOS PALMARES;ZUMBI DOS PALMARES - VILA VELHA - ES - Brasil;;
COLATINA;HONÓRIO FRAGA;HONÓRIO FRAGA - COLATINA - ES - Brasil;;
CARIACICA;SOTEMA;SOTEMA - CARIACICA - ES - Brasil;;
CARIACICA;TABAJARA;TABAJARA - CARIACICA - ES - Brasil;;
CARIACICA;MUCURI;MUCURI - CARIACICA - ES - Brasil;;
SERRA;PLANÍCIE DA SERRA;PLANÍCIE DA SERRA - SERRA - ES - Brasil;;
SERRA;JARDIM DA SERRA;JARDIM DA SERRA - SERRA - ES - Brasil;;
CASTELO;CENTRO;CENTRO - CASTELO - ES - Brasil;;
CASTELO;VILA IZABEL;VILA IZABEL - CASTELO - ES - Brasil;;
VITORIA;GURIGICA;GURIGICA - VITORIA - ES - Brasil;;
VITORIA;SANTOS REIS;SANTOS REIS - VITORIA - ES - Brasil;;
VITORIA;ILHA DO FRADE;ILHA DO FRADE - VITORIA - ES - Brasil;;
VITORIA;GRANDE VITÓRIA;GRANDE VITÓRIA - VITORIA - ES - Brasil;;
VITORIA;CARATOÍRA;CARATOÍRA - VITORIA - ES - Brasil;;
SAO PAULO;NULL;NULL - SAO PAULO - ES - Brasil;;
SOROCABA;NULL;NULL - SOROCABA - ES - Brasil;;
JOINVILLE;NULL;NULL - JOINVILLE - ES - Brasil;;
LEME;NULL;NULL - LEME - ES - Brasil;;
SAO FRANCISCO DE ITABAPOANA;NULL;NULL - SAO FRANCISCO DE ITABAPOANA - ES - Brasil;;
MAGE;NULL;NULL - MAGE - ES - Brasil;;
CORDEIRO;NULL;NULL - CORDEIRO - ES - Brasil;;
VILA VELHA;NOVA PONTA DA FRUTA;NOVA PONTA DA FRUTA - VILA VELHA - ES - Brasil;;
VILA VELHA;ALECRIM;ALECRIM - VILA VELHA - ES - Brasil;;
GUARAPARI;PRAIA DO MORRO;PRAIA DO MORRO - GUARAPARI - ES - Brasil;;
LINHARES;PLANALTO;PLANALTO - LINHARES - ES - Brasil;;
CARIACICA;SÃO JOÃO BATISTA;SÃO JOÃO BATISTA - CARIACICA - ES - Brasil;;
CARIACICA;OPERÁRIO;OPERÁRIO - CARIACICA - ES - Brasil;;
VILA VELHA;JARDIM DO VALE;JARDIM DO VALE - VILA VELHA - ES - Brasil;;
SERRA;SÃO MARCOS I;SÃO MARCOS I - SERRA - ES - Brasil;;
VITORIA;JOANA DARC;JOANA DARC - VITORIA - ES - Brasil;;
VITORIA;PARQUE MOSCOSO;PARQUE MOSCOSO - VITORIA - ES - Brasil;;
MONTE ALEGRE DE SERGIPE;NULL;NULL - MONTE ALEGRE DE SERGIPE - ES - Brasil;;
ARACRUZ;SEGATO;SEGATO - ARACRUZ - ES - Brasil;;
ARACRUZ;FÁTIMA;FÁTIMA - ARACRUZ - ES - Brasil;;
PRESIDENTE KENNEDY;FAZENDA CAETES;FAZENDA CAETES - PRESIDENTE KENNEDY - ES - Brasil;;
SERRA;CASTELÂNDIA;CASTELÂNDIA - SERRA - ES - Brasil;;
SERRA;JARDIM BELA VISTA;JARDIM BELA VISTA - SERRA - ES - Brasil;;
SERRA;ESTÂNCIA MONAZÍTICA;ESTÂNCIA MONAZÍTICA - SERRA - ES - Brasil;;
SERRA;SÃO JUDAS TADEU;SÃO JUDAS TADEU - SERRA - ES - Brasil;;
MARICA;NULL;NULL - MARICA - ES - Brasil;;
ITABORAI;NULL;NULL - ITABORAI - ES - Brasil;;
SAO JOSE DOS CAMPOS;NULL;NULL - SAO JOSE DOS CAMPOS - ES - Brasil;;
VILA VELHA;COBI DE CIMA;COBI DE CIMA - VILA VELHA - ES - Brasil;;
VITORIA;ILHA DO PRÍNCIPE;ILHA DO PRÍNCIPE - VITORIA - ES - Brasil;;
SERRA;JARDIM GUANABARA;JARDIM GUANABARA - SERRA - ES - Brasil;;
VENDA NOVA DO IMIGRANTE;BELA AURORA;BELA AURORA - VENDA NOVA DO IMIGRANTE - ES - Brasil;;
VIANA;Não Encontrado;Não Encontrado - VIANA - ES - Brasil;;
SERRA;JACUHY;JACUHY - SERRA - ES - Brasil;;
ALEGRE;CENTRO;CENTRO - ALEGRE - ES - Brasil;;
ALFREDO CHAVES;ZONA RURAL;ZONA RURAL - ALFREDO CHAVES - ES - Brasil;;
FORTALEZA;NULL;NULL - FORTALEZA - ES - Brasil;;
CARIACICA;VILA MERLO;VILA MERLO - CARIACICA - ES - Brasil;;
ITAPEMIRIM;ITAOCA;ITAOCA - ITAPEMIRIM - ES - Brasil;;
GUARAPARI;INDEPENDÊNCIA;INDEPENDÊNCIA - GUARAPARI - ES - Brasil;;
MARECHAL FLORIANO;CENTRO;CENTRO - MARECHAL FLORIANO - ES - Brasil;;
SAO GABRIEL DA PALHA;VILA COMBONI;VILA COMBONI - SAO GABRIEL DA PALHA - ES - Brasil;;
CASTELO;SANTA MÔNICA;SANTA MÔNICA - CASTELO - ES - Brasil;;
ARACRUZ;ALDEIA PAU BRASIL;ALDEIA PAU BRASIL - ARACRUZ - ES - Brasil;;
FUNDAO;OZÉIAS;OZÉIAS - FUNDAO - ES - Brasil;;
