Municipio;Bairro;M+B;Lat;Long
SOORETAMA;ALEGRE;ALEGRE - SOORETAMA - ES - Brasil;;
SERRA;MORADA DE LARANJEIRAS;MORADA DE LARANJEIRAS - SERRA - ES - Brasil;;
SERRA;BARCELONA;BARCELONA - SERRA - ES - Brasil;;
SERRA;BALNEÁRIO DE CARAPEBUS;BALNEÁRIO DE CARAPEBUS - SERRA - ES - Brasil;;
BOM JESUS DO NORTE;CENTRO;CENTRO - BOM JESUS DO NORTE - ES - Brasil;;
CARIACICA;NOVA VALVERDE;NOVA VALVERDE - CARIACICA - ES - Brasil;;
FUNDAO;CENTRO;CENTRO - FUNDAO - ES - Brasil;;
COLATINA;JARDIM PLANALTO;JARDIM PLANALTO - COLATINA - ES - Brasil;;
SANTA TERESA;SÃO JOSÉ DO CALDEIRÃO;SÃO JOSÉ DO CALDEIRÃO - SANTA TERESA - ES - Brasil;;
LINHARES;AVISO;AVISO - LINHARES - ES - Brasil;;
LINHARES;TRÊS BARRAS;TRÊS BARRAS - LINHARES - ES - Brasil;;
JERONIMO MONTEIRO;CENTRO;CENTRO - JERONIMO MONTEIRO - ES - Brasil;;
CARIACICA;CAMPO VERDE;CAMPO VERDE - CARIACICA - ES - Brasil;;
CARIACICA;FLEXAL I;FLEXAL I - CARIACICA - ES - Brasil;;
CARIACICA;GRAÚNA;GRAÚNA - CARIACICA - ES - Brasil;;
SERRA;BARRO BRANCO;BARRO BRANCO - SERRA - ES - Brasil;;
VILA VELHA;MORRO DA LAGOA;MORRO DA LAGOA - VILA VELHA - ES - Brasil;;
RIO DE JANEIRO;NULL;NULL - RIO DE JANEIRO - ES - Brasil;;
SAO GONCALO;NULL;NULL - SAO GONCALO - ES - Brasil;;
MACAE;NULL;NULL - MACAE - ES - Brasil;;
VILA VELHA;COQUEIRAL DE ITAPARICA;COQUEIRAL DE ITAPARICA - VILA VELHA - ES - Brasil;;
VILA VELHA;TERRA VERMELHA;TERRA VERMELHA - VILA VELHA - ES - Brasil;;
VILA VALERIO;ARARIBÓIA;ARARIBÓIA - VILA VALERIO - ES - Brasil;;
VILA VELHA;ATAÍDE;ATAÍDE - VILA VELHA - ES - Brasil;;
VITORIA;SÃO BENEDITO;SÃO BENEDITO - VITORIA - ES - Brasil;;
SERRA;LARANJEIRAS VELHA;LARANJEIRAS VELHA - SERRA - ES - Brasil;;
FUNDAO;TIMBUÍ;TIMBUÍ - FUNDAO - ES - Brasil;;
CARIACICA;NOVA ROSA DA PENHA;NOVA ROSA DA PENHA - CARIACICA - ES - Brasil;;
SERRA;DIVINÓPOLIS;DIVINÓPOLIS - SERRA - ES - Brasil;;
SERRA;VISTA DA SERRA II;VISTA DA SERRA II - SERRA - ES - Brasil;;
SERRA;JARDIM LIMOEIRO;JARDIM LIMOEIRO - SERRA - ES - Brasil;;
VILA VELHA;JABURUNA;JABURUNA - VILA VELHA - ES - Brasil;;
VILA VELHA;RIO MARINHO;RIO MARINHO - VILA VELHA - ES - Brasil;;
GUARAPARI;SETIBA;SETIBA - GUARAPARI - ES - Brasil;;
SERRA;PARQUE RESIDENCIAL TUBARÃO;PARQUE RESIDENCIAL TUBARÃO - SERRA - ES - Brasil;;
RIO NOVO DO SUL;CENTRO;CENTRO - RIO NOVO DO SUL - ES - Brasil;;
SERRA;PRAIAMAR;PRAIAMAR - SERRA - ES - Brasil;;
SERRA;JOSÉ DE ANCHIETA I;JOSÉ DE ANCHIETA I - SERRA - ES - Brasil;;
CARIACICA;ALTO DA BOA VISTA;ALTO DA BOA VISTA - CARIACICA - ES - Brasil;;
VIANA;UNIVERSAL;UNIVERSAL - VIANA - ES - Brasil;;
ARACRUZ;PRIMAVERA;PRIMAVERA - ARACRUZ - ES - Brasil;;
MARATAIZES;BARRA DE ITAPEMIRIM;BARRA DE ITAPEMIRIM - MARATAIZES - ES - Brasil;;
CARIACICA;ITACIBÁ;ITACIBÁ - CARIACICA - ES - Brasil;;
VILA VELHA;SANTA RITA;SANTA RITA - VILA VELHA - ES - Brasil;;
VITORIA;NOVA PALESTINA;NOVA PALESTINA - VITORIA - ES - Brasil;;
VILA VELHA;GLÓRIA;GLÓRIA - VILA VELHA - ES - Brasil;;
VITORIA;SANTO ANDRÉ;SANTO ANDRÉ - VITORIA - ES - Brasil;;
CARIACICA;NOVO HORIZONTE;NOVO HORIZONTE - CARIACICA - ES - Brasil;;
SERRA;SERRA DOURADA II;SERRA DOURADA II - SERRA - ES - Brasil;;
ANCHIETA;Não Encontrado;Não Encontrado - ANCHIETA - ES - Brasil;;
SERRA;CAMPINHO DA SERRA I;CAMPINHO DA SERRA I - SERRA - ES - Brasil;;
PIUMA;MONTE AGHÁ;MONTE AGHÁ - PIUMA - ES - Brasil;;
